flight ID, Destination, Destination_IATA, Continent, Country, Time, Distance, Emissions, TaxCuts
DY4097,Skelleftea,SFT,Europe,SE,2018-04-20T15:40:00Z,622,110.094,319.4691964
SK197,Kalmar,KLR,Europe,SE,2018-04-20T15:55:00Z,313,80.441,233.4225446
SK096,Ornskoldsvik,OER,Europe,SE,2018-04-20T16:00:00Z,442,113.594,329.6254464
DY4479,Manchester,MAN,Europe,GB,2018-04-20T14:55:00Z,1403,248.331,720.6033482
DY4601,Dubai,DXB,Asia,AE,2018-04-20T15:50:00Z,4760,842.52,2444.8125
DY7005,New York JFK,JFK,other,AE,2018-04-20T15:45:00Z,0,0,0
SK070,Are Ostersund,OSD,other,AE,2018-04-20T15:55:00Z,0,0,0
IS684,Torsby,TYF,Europe,SE,2018-04-20T16:15:00Z,298,76.586,222.2361607
SK083,Visby,VBY,Europe,SE,2018-04-20T16:00:00Z,189,48.573,140.9484375
DY4121,Oslo,OSL,Europe,NO,2018-04-20T16:00:00Z,417,107.169,310.9814732
